adm1_name,adm2_name,mkt_name,c_maize_price,c_rice_price,c_sorghum_price,c_oil_price,c_food_price_index,Date,Population,Climate_Temperature,Climate_Precipitation,Climate_Humidity,Conflict_Critical,Conflict_Heightened,Conflict_Typical,Drought_NDVI_Critical,Drought_NDVI_Heightened,Drought_NDVI_Typical,Drought_rainfall_Critical,Drought_rainfall_Heightened,Drought_rainfall_Typical,Exchange_rates_Critical,Exchange_rates_Heightened,Exchange_rates_Typical,Food_prices_Critical,Food_prices_Heightened,Food_prices_Typical,Fuel_prices_Critical,Fuel_prices_Heightened,Fuel_prices_Typical,GLM_Estimated_population_living_in_areas_at_risk,GLM_Percentage_of_population_living_in_areas_at_risk,Heavy_rainfall_Critical,Heavy_rainfall_Heightened,Heavy_rainfall_Typical,ALCOHOLIC_BEVERAGES_TOBACCO_AND_NARCOTICS,ALL_GROUPS,CLOTHING_AND_FOOTWEAR,COMMUNICATION,EDUCATION,FOOD_AND_NON_ALCOHOLIC_BEVERAGES,FURNISHINGS_HOUSEHOLD_EQUIPMENT_AND_ROUTINE_MAINTENANCE_OF_THE_HOUSE,HEALTH,HOUSING_WATER_ELECTRICITY_GAS_AND_OTHER_FUELS,MISCELLANEOUS_GOODS_AND_SERVICES,RECREATION_AND_CULTURE,RESTAURANTS_AND_HOTELS,TRANSPORT,Exchange_Rate,"GDP_per_capita,_US_Dollars",Government_final_consumption,Gross_fixed_capital_formation,Household_final_consumption,Minus:_Imports_of_goods_and_services
Awdal,Borama,Borama,4000.0,4649.66,2646.02,34010.71,0.56,2015-01-01,,17.23,0.04,58.82,3.0,28.0,43.0,,2.0,72.0,,,74.0,,,74.0,2.0,21.0,53.0,,3.0,71.0,3664075.69,0.2734,,,74.0,1.138095562125,97.58555611,5.043140070200001,2.8350324603999995,3.9286067804,44.679411228636,2.9520769698600002,5.163283245000001,22.201190195162,2.80493704881,0.9973943572,1.8541694356,3.98821875166,22285.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4000.0,4616.42,2635.47,33206.32,0.55,2015-02-01,305455.0,20.7,0.0,51.45,5.0,26.0,43.0,,3.0,71.0,,,74.0,,,74.0,1.0,13.0,61.0,,1.0,73.0,4056569.918,0.3027,,,74.0,1.138095562125,98.42550657,5.022539574923,2.8350324603999995,3.9286067804,44.990092933124,2.9556527154900003,5.163283245000001,22.807152597655,2.80493704881,0.9753297043000001,1.8541694356,3.9506145171999996,22196.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4000.0,4500.0,2573.14,33318.08,0.55,2015-03-01,305455.0,22.65,0.6,52.05,,21.0,53.0,,2.0,72.0,,,74.0,,,74.0,,6.0,68.0,,1.0,73.0,4685040.497,0.3496,,1.0,73.0,1.1770715652500001,99.74662676,5.03015307296,2.8350324603999995,3.9354882896,45.79969253954,2.9693099113600003,5.16055237,23.214669970526,2.80812213885,1.001521277,1.8643986512000001,3.9506145171999996,22211.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4000.0,4500.0,2625.0,33135.4,0.55,2015-04-01,305455.0,23.91,0.14,48.92,,10.0,64.0,,2.0,72.0,3.0,,74.0,,74.0,74.0,,11.0,63.0,,1.0,73.0,5697615.73,0.4251,,3.0,71.0,1.1770715652500001,100.034736,5.03015307296,2.8350324603999995,3.9492513076,45.844465698296,2.9800011268300004,5.15274698,23.41423465831,2.81015240758,1.00731546,1.8643986512000001,3.9699126420199997,22232.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4000.0,4264.24,2094.63,32390.78,0.53,2015-05-01,305455.0,25.19,1.29,55.28,,15.0,59.0,,1.0,73.0,,,74.0,,74.0,74.0,,7.0,67.0,,3.0,71.0,5512621.698,0.4113,,,74.0,1.2271835693750002,99.98332706,5.03170221236,2.8578545967999998,3.9354882896,45.755379159243994,2.9450909708600004,5.16055237,23.52030801364,2.81637939805,1.0060654599999999,1.8643986512000001,3.86292438129,22265.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4047.06,4354.88,2156.19,32193.08,0.53,2015-06-01,305455.0,25.95,1.51,48.48,,15.0,59.0,1.0,,73.0,,,74.0,,,74.0,,4.0,70.0,,1.0,73.0,4786977.569,0.3572,,,74.0,1.2271835693750002,100.01735,5.03170221236,2.8578545967999998,3.9698958352,45.754994545688,2.9450909708600004,5.16055237,23.52030801364,2.81637939805,1.0060654599999999,1.8643986512000001,3.86292438129,22212.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4100.0,4533.46,2317.65,32934.31,0.55,2015-07-01,,26.2,0.28,46.35,,28.0,46.0,1.0,,73.0,,1.0,74.0,,,74.0,,3.0,71.0,,2.0,72.0,4340658.495,0.3239,,1.0,74.0,1.25086155,103.981608,5.1398560701900005,2.8968424127999994,4.115258504000001,47.67413588716,3.01929693903,5.308254945000001,24.81594008204,2.95466121346,1.02835681,1.8904900084,3.88765357565,22263.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4120.0,4510.2,2485.8,33737.36,0.56,2015-08-01,,25.1,1.74,51.44,5.0,27.0,42.0,3.0,1.0,73.0,1.0,3.0,71.0,,,74.0,,5.0,69.0,1.0,2.0,72.0,4589704.525,0.3425,,,74.0,1.25086155,105.2929745,5.16707327947,2.8968424127999994,4.130642612,48.731285879359994,3.0495526552200003,5.341342635,24.92411464874,2.9923104662199997,1.026181721,1.8918350496,3.8909316094999995,22273.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4062.8,4500.0,2500.0,34520.48,0.57,2015-09-01,,26.37,0.21,43.83,4.0,35.0,35.0,2.0,1.0,73.0,,3.0,71.0,,,74.0,,8.0,66.0,1.0,7.0,66.0,4653780.349,0.3473,,,74.0,1.25086155,105.328269,5.16718377348,2.8968424127999994,4.140964876,48.7477495992,3.0495411168800004,5.341342635,24.92411464874,2.99454234386,1.027431721,1.8918350496,3.89585924455,22269.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4047.28,4500.0,2500.0,35011.74,0.57,2015-10-01,,23.35,0.18,55.12,,26.0,48.0,1.0,1.0,72.0,2.0,3.0,69.0,,,74.0,,27.0,47.0,,12.0,62.0,5115386.806,0.3817,,15.0,59.0,1.233870761625,100.13349,5.04328269082,2.8578545967999998,3.987099608,45.832398674147996,2.9447996790500004,5.154352375,23.515448963809998,2.8317441947099997,1.00531546,1.8643986512000001,3.86292438129,22284.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4016.98,4500.0,2500.0,36257.36,0.59,2015-11-01,,20.4,1.19,64.84,3.0,28.0,43.0,1.0,1.0,72.0,1.0,4.0,69.0,,,74.0,,7.0,67.0,1.0,21.0,53.0,5265943.148,0.3929,,3.0,71.0,1.2271835693750002,100.1298037,5.027526544782001,2.8578545967999998,4.02756588,45.830575218511996,2.9436487984900004,5.186295725000001,23.45846607415,2.81938440762,1.00531546,1.8830630472000003,3.86292438129,22275.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4000.0,4546.7,3000.0,36519.51,0.6,2015-12-01,,18.82,0.62,66.17,3.0,23.0,48.0,2.0,,72.0,,5.0,69.0,,,74.0,,7.0,67.0,1.0,19.0,54.0,5235228.184,0.3906,,,74.0,1.23442197,100.2921321,5.032025490460001,2.8578545967999998,4.0468678240000004,45.996950399287996,2.9449104154700003,5.16055237,23.46964640923,2.81637939805,1.00531546,1.8642833454,3.86292438129,22286.0,414.2630939,324289767.7,674627947.1,7281761394.0,3987254874.0
Awdal,Borama,Borama,4000.0,4500.0,2661.98,34845.36,0.57,2016-01-01,,19.56,0.45,65.77,,17.0,57.0,1.0,1.0,72.0,,,74.0,,,74.0,,5.0,69.0,,4.0,70.0,4231328.102,0.3053,,,74.0,1.3090555425000001,99.7768138,4.972559451234,2.7549211180399995,4.240927804,44.807474849555994,2.97490197751,5.118496065,23.90158766686,2.86378248838,0.9791039788000001,2.104835614,3.7491672261809996,22688.0,417.987054,386948033.8,707091255.2,7562873480.0,4194168700.0
Awdal,Borama,Borama,4050.98,4500.0,2536.83,33985.86,0.56,2016-02-01,673264.0,19.53,0.11,56.59,,24.0,50.0,,2.0,72.0,,,74.0,74.0,,74.0,,,74.0,,,74.0,3673043.477,0.265,,,74.0,1.219967535625,99.69783099,5.014688838948,2.7549211180399995,4.240927804,44.864220277536,2.9362458780700003,5.060453425,23.90158766686,2.8729274106999996,0.9756150194000001,2.107108772,3.7491672261809996,22736.0,417.987054,386948033.8,707091255.2,7562873480.0,4194168700.0
Awdal,Borama,Borama,4117.47,4867.32,2700.0,33972.26,0.57,2016-03-01,673264.0,25.3,0.28,51.27,11.0,24.0,39.0,1.0,1.0,72.0,,1.0,73.0,,74.0,74.0,,,74.0,,2.0,74.0,3298067.08,0.238,,,74.0,1.3090555425000001,100.0137623,4.970014831073001,2.7549211180399995,4.240927804,44.894084160367996,2.9476696169800003,5.078752655000001,23.90158766686,2.87142505411,0.9781343816000001,2.31322272,3.7539667019659997,22751.0,417.987054,386948033.8,707091255.2,7562873480.0,4194168700.0
Awdal,Borama,Borama,4207.84,5475.28,2500.0,34161.51,0.58,2016-04-01,673264.0,24.04,4.4,65.55,2.0,33.0,39.0,,4.0,74.0,,5.0,74.0,,,74.0,,,74.0,1.0,,74.0,3340866.82,0.2411,4.0,2.0,68.0,1.3395212150000002,100.5560579,5.001350152156,2.7715500111599995,4.061408344,46.858699808359994,3.06397987267,4.5865798915000004,22.993088826199,2.6401604437799997,0.9939363026,2.310143032,3.9356399904899995,22940.0,417.987054,386948033.8,707091255.2,7562873480.0,4194168700.0
Awdal,Borama,Borama,4251.87,5153.48,2500.0,33118.33,0.56,2016-05-01,673264.0,24.64,1.98,60.84,,38.0,36.0,,,74.0,6.0,1.0,73.0,,74.0,74.0,,,74.0,,1.0,74.0,2773724.283,0.2001,,1.0,73.0,1.3395212150000002,100.7362936,4.9884905919780005,2.759835673,4.061408344,47.137765099,3.0071042685000005,4.7005512335,22.845443419324,2.656454454945,0.9939363026,2.310143032,3.9356399904899995,23017.0,417.987054,386948033.8,707091255.2,7562873480.0,4194168700.0
Awdal,Borama,Borama,4663.26,5280.92,2500.0,34422.09,0.58,2016-06-01,673264.0,25.67,0.14,49.48,1.0,42.0,31.0,1.0,2.0,74.0,3.0,2.0,72.0,,74.0,74.0,,2.0,74.0,1.0,,74.0,2376539.811,0.1715,,,74.0,1.3396888150000001,100.9093174,5.010626299088001,2.77395265952,3.9983416476,47.2365975556,3.0254089981400005,4.800941235,22.819918660587,2.675512486511,0.9987888639000001,2.310020112,3.9195200925399996,22993.0,417.987054,386948033.8,707091255.2,7562873480.0,4194168700.0
Awdal,Borama,Borama,4971.36,5779.92,2562.05,35830.74,0.61,2016-07-01,,24.51,2.37,53.39,,37.0,37.0,3.0,2.0,74.0,8.0,1.0,73.0,,74.0,74.0,2.0,8.0,74.0,2.0,17.0,74.0,2139745.543,0.1544,,,74.0,1.3396888150000001,101.2554095,5.010626299088001,2.7622383216399995,3.9983416476,47.64244899528,2.96488825129,4.800941235,22.819918660587,2.691191113368,0.9955859472,2.310020112,3.9195200925399996,23037.0,417.987054,386948033.8,707091255.2,7562873480.0,4194168700.0
Awdal,Borama,Borama,5047.65,5733.31,2665.04,35836.86,0.61,2016-08-01,673264.0,23.62,2.9,55.43,,33.0,41.0,4.0,1.0,74.0,7.0,8.0,66.0,,74.0,74.0,5.0,1.0,73.0,,13.0,74.0,2568928.264,0.1854,,,74.0,1.2951448112500001,101.2086205,5.010626299088001,2.7798098285999995,3.9983416476,47.60053620504,2.9734434410900006,4.800941235,22.819918660587,2.704256635518,0.9960614965000001,2.310020112,3.9195200925399996,23043.0,417.987054,386948033.8,707091255.2,7562873480.0,4194168700.0
Awdal,Borama,Borama,4924.11,5797.87,2540.36,34898.85,0.6,2016-09-01,673264.0,25.1,0.94,48.38,,17.0,57.0,6.0,6.0,74.0,2.0,10.0,62.0,,74.0,74.0,2.0,7.0,74.0,,3.0,74.0,2691476.038,0.1942,,,74.0,1.28623601,101.112105,5.010626299088001,2.7915241667599995,3.9983416476,47.493784638239994,2.9694057487300003,4.800941235,22.830718592531,2.704256635518,0.9967298241000001,2.310020112,3.9195200925399996,22990.0,417.987054,386948033.8,707091255.2,7562873480.0,4194168700.0
Awdal,Borama,Borama,4821.02,5869.86,2448.82,34378.55,0.59,2016-10-01,673264.0,22.6,0.15,46.35,2.0,29.0,43.0,33.0,3.0,71.0,19.0,18.0,37.0,,74.0,74.0,1.0,21.0,74.0,1.0,5.0,74.0,2921907.825,0.2108,,,74.0,1.2893386612500002,100.8178649,5.06850950898,2.9786614368,4.1108906880000005,46.524531773919996,3.0206207921400003,5.069491065,22.865651825586003,2.81307300694,0.9996116772000001,2.1780507460000003,3.89943370596,23057.0,417.987054,386948033.8,707091255.2,7562873480.0,4194168700.0
Awdal,Borama,Borama,4296.36,6087.53,2500.0,33071.59,0.57,2016-11-01,673264.0,20.2,0.09,56.41,3.0,22.0,49.0,6.0,2.0,66.0,25.0,26.0,23.0,,74.0,74.0,1.0,2.0,72.0,,1.0,73.0,2900983.651,0.2093,,,74.0,1.29199956,103.6476581,5.03489990408,2.9974307943999996,4.04288192,47.59114151284,2.9699778370900005,5.301371615000001,24.26532328083,2.8280305028,0.9869008637000001,2.31905457,4.01864570159,23528.0,417.987054,386948033.8,707091255.2,7562873480.0,4194168700.0
Awdal,Borama,Borama,4215.11,5952.17,2500.0,33845.5,0.58,2016-12-01,673264.0,18.49,0.12,57.45,1.0,25.0,48.0,8.0,8.0,58.0,2.0,32.0,40.0,,74.0,74.0,7.0,24.0,50.0,,3.0,71.0,3697163.59,0.2668,3.0,2.0,69.0,1.2893386612500002,101.5094716,5.06850950898,2.6482855265999996,3.9127199544000004,47.69236818756,2.9794447725700004,4.8884021825,22.865651825586003,2.8529989476299997,1.031855614,2.3425707019999997,3.93732577238,23961.0,417.987054,386948033.8,707091255.2,7562873480.0,4194168700.0
Awdal,Borama,Borama,3803.83,5792.25,2000.0,33407.73,0.56,2017-01-01,,17.71,0.01,48.26,1.0,30.0,43.0,6.0,12.0,56.0,9.0,19.0,55.0,,74.0,74.0,13.0,56.0,18.0,2.0,8.0,66.0,4211781.765,0.2911,,,74.0,1.302351575,102.3119565,5.0273962054100005,2.6407844923599995,4.183466516,46.885418385719994,2.9914472773100003,4.9164197815,24.26154200399,2.84964549422,0.9914516942,2.331885574,3.9301475227299996,23994.0,412.0,486000000.0,784000000.0,7968000000.0,4624000000.0
Awdal,Borama,Borama,3236.25,5816.52,2000.0,34020.1,0.56,2017-02-01,673264.0,20.58,0.18,63.57,,16.0,58.0,5.0,12.0,57.0,7.0,8.0,66.0,,,74.0,1.0,61.0,12.0,1.0,56.0,17.0,4478405.262,0.3095,,,74.0,1.2800795737500001,101.6356825,5.015736165931001,2.63980358852,4.112724324,45.887633064724,2.9941044269200003,4.921285976,24.55501070039,2.85396272758,0.9929321246000001,2.428750622,3.9536591767399996,21526.0,412.0,486000000.0,784000000.0,7968000000.0,4624000000.0
Awdal,Borama,Borama,3843.04,5802.88,2500.0,34363.07,0.58,2017-03-01,673264.0,23.44,0.94,52.47,,15.0,59.0,6.0,14.0,54.0,,18.0,56.0,,,74.0,1.0,67.0,6.0,1.0,67.0,6.0,4600368.034,0.3179,,,74.0,1.302351575,101.5185534,5.0492014566100005,2.6436072779199997,4.0484721839999995,46.14125917896,2.96761031212,4.775107360500001,24.540066013900002,2.750493779941,0.9560598021,2.403968046,3.94035641883,21197.0,412.0,486000000.0,784000000.0,7968000000.0,4624000000.0
Awdal,Borama,Borama,4203.2,5958.71,3215.06,35316.52,0.61,2017-04-01,673264.0,24.57,0.4,52.31,1.0,28.0,46.0,10.0,20.0,44.0,15.0,34.0,25.0,,,74.0,5.0,63.0,6.0,6.0,57.0,11.0,5065364.653,0.3501,,,74.0,1.2800795737500001,102.889318,5.17102818739,2.6436072779199997,4.267936208,47.51549079476,2.9857460715900004,4.927882583000001,24.08836688014,2.8507314007,0.9810259282,2.346971676,3.8304514372799994,23437.0,412.0,486000000.0,784000000.0,7968000000.0,4624000000.0
Awdal,Borama,Borama,4067.16,5911.81,3146.75,35657.44,0.61,2017-05-01,673264.0,25.17,3.17,58.13,,20.0,54.0,16.0,23.0,35.0,16.0,22.0,36.0,,,74.0,1.0,70.0,3.0,6.0,60.0,8.0,6463662.242,0.4467,1.0,6.0,67.0,1.2800795737500001,104.5573304,5.17715812767,2.6407493859599995,4.281436208000001,48.874139712159995,3.0018972395100003,4.9809256070000005,24.3621940247,2.83709593443,1.000211255,2.392989736,3.7284535402529997,23622.0,412.0,486000000.0,784000000.0,7968000000.0,4624000000.0
Awdal,Borama,Borama,4065.93,6048.87,3213.4,36322.81,0.62,2017-06-01,673264.0,26.16,0.3,47.47,4.0,13.0,57.0,22.0,22.0,30.0,22.0,16.0,36.0,,74.0,74.0,6.0,59.0,9.0,7.0,60.0,7.0,7080043.844,0.4893,,,74.0,1.3914395825,105.5802404,5.2032652411,2.6427636748799994,4.310017872,49.49607897104,2.9495158451400005,5.1697948,24.45764223651,2.7220078927149998,0.9891670692,2.466109658,3.7824375353699997,23245.0,412.0,486000000.0,784000000.0,7968000000.0,4624000000.0
Awdal,Borama,Borama,4228.61,6152.67,3443.17,35629.97,0.61,2017-07-01,,25.74,0.83,47.81,,21.0,53.0,15.0,26.0,33.0,9.0,19.0,46.0,,,74.0,1.0,65.0,8.0,2.0,59.0,13.0,7274142.811,0.5027,,,74.0,1.3914395825,105.6633773,5.105330799060001,2.6427636748799994,4.304382704,49.70704161744,2.9405630133200003,5.13160506,24.46289810925,2.742985596329,0.9972462414000001,2.473369082,3.7637518632609996,23259.0,412.0,486000000.0,784000000.0,7968000000.0,4624000000.0
Awdal,Borama,Borama,4547.8,6423.69,3475.25,35963.01,0.63,2017-08-01,673264.0,25.5,1.21,49.24,,21.0,53.0,17.0,23.0,34.0,11.0,21.0,42.0,,74.0,74.0,5.0,61.0,8.0,47.0,62.0,12.0,6051479.912,0.4182,,,74.0,1.50219950375,105.7458973,5.027858898511001,2.6427636748799994,4.012917152,49.61648927068,2.9389740860400004,5.1450531900000005,24.81129509325,2.77422156587,1.007726488,2.474059908,3.7923384790199997,23197.0,412.0,486000000.0,784000000.0,7968000000.0,4624000000.0
Awdal,Borama,Borama,4316.08,6273.42,3510.7,35830.74,0.62,2017-09-01,673264.0,25.34,1.26,51.42,,25.0,49.0,17.0,18.0,39.0,10.0,18.0,46.0,,,74.0,2.0,65.0,7.0,47.0,50.0,24.0,6128859.69,0.4236,,1.0,73.0,1.6321083187500003,106.6707653,5.056185093520001,2.6427636748799994,4.012702364,50.35504844808,2.9570574307400004,5.16468321,24.769867820850003,2.79994232054,1.009569535,2.477081376,3.7937557426599997,23203.0,412.0,486000000.0,784000000.0,7968000000.0,4624000000.0
Awdal,Borama,Borama,4416.3,6265.12,3533.99,35600.01,0.62,2017-10-01,673264.0,23.21,0.15,50.64,3.0,20.0,51.0,17.0,14.0,43.0,25.0,11.0,38.0,,,74.0,1.0,55.0,18.0,1.0,26.0,47.0,6328706.446,0.4374,,,74.0,1.6321083187500003,107.3479462,5.063451451640001,2.6427636748799994,4.015454968,50.44602956536,2.9811372196800003,5.16468321,25.229724590489997,2.8262282438499997,1.015931559,2.4745103680000002,3.8559230728199996,23365.0,412.0,486000000.0,784000000.0,7968000000.0,4624000000.0
Awdal,Borama,Borama,4655.95,6240.69,3637.31,35448.32,0.62,2017-11-01,673264.0,19.96,0.04,60.05,6.0,30.0,38.0,18.0,20.0,36.0,4.0,19.0,51.0,,,74.0,1.0,49.0,24.0,1.0,8.0,65.0,7625940.687,0.527,,4.0,70.0,1.64440491875,107.5518937,5.060217342720001,2.6427636748799994,4.018895724,50.82649413468,2.9665369154100003,5.210130605,25.011606339980002,2.8325430100799998,1.0147974290000001,2.477081376,3.84642226566,23595.0,412.0,486000000.0,784000000.0,7968000000.0,4624000000.0
Awdal,Borama,Borama,5929.04,6016.95,3685.46,34365.6,0.62,2017-12-01,673264.0,16.53,0.01,56.93,,28.0,46.0,20.0,19.0,35.0,4.0,10.0,60.0,,,74.0,6.0,43.0,31.0,1.0,5.0,68.0,7726220.258,0.534,,,74.0,1.6321083187500003,107.6921335,5.058631041680001,2.6427636748799994,4.017175344,50.7893938596,2.9643327203600003,5.180837065,25.19140096907,2.82416132525,1.014101826,2.531218292,3.84600905858,23536.0,412.0,486000000.0,784000000.0,7968000000.0,4624000000.0
Awdal,Borama,Borama,7200.0,5557.78,4097.78,35058.47,0.65,2018-01-01,,17.47,0.01,53.21,3.0,27.0,44.0,13.0,21.0,40.0,1.0,,74.0,,,74.0,6.0,51.0,17.0,2.0,27.0,45.0,8263887.002,0.5517,,,74.0,1.6308262675000003,106.2352805,5.0378279928300005,2.6427636748799994,4.017175344,50.03229382172,2.96434301345,4.9235200365,24.76875551811,2.8241485001499997,1.012879878,2.531218292,3.8495281311499996,23566.0,419.0,495000000.0,868000000.0,8479000000.0,5122000000.0
Awdal,Borama,Borama,7000.0,5800.0,4500.0,35044.11,0.65,2018-02-01,,20.83,0.37,55.17,,17.0,57.0,14.0,14.0,46.0,2.0,1.0,73.0,,,74.0,7.0,61.0,6.0,2.0,61.0,11.0,8022199.249,0.5356,,,74.0,1.6976422737499999,107.4257894,5.0378279928300005,2.6427636748799994,4.047987428,51.010281763159995,2.9654973250400003,4.9235200365,24.87063485489,2.82539720507,1.012879878,2.531218292,3.86013868682,23547.0,419.0,495000000.0,868000000.0,8479000000.0,5122000000.0
Awdal,Borama,Borama,7000.0,6000.0,4660.0,35169.8,0.66,2018-03-01,,22.2,0.1,49.51,1.0,20.0,53.0,11.0,10.0,53.0,1.0,1.0,73.0,,,74.0,11.0,64.0,10.0,1.0,66.0,7.0,8995807.728,0.6006,,1.0,74.0,1.51946625875,107.3905062,5.0384443137,2.64257349048,4.020930248,51.07663622256,2.9532143841400003,4.950626558,24.91681611304,2.82286544446,1.0127955690000001,2.531218292,3.9049193010099996,23307.0,419.0,495000000.0,868000000.0,8479000000.0,5122000000.0
Awdal,Borama,Borama,7000.0,6150.0,4800.0,35361.02,0.66,2018-04-01,,23.51,3.23,64.84,,25.0,49.0,6.0,7.0,61.0,1.0,1.0,73.0,,,74.0,2.0,65.0,7.0,7.0,60.0,7.0,9523100.976,0.6358,2.0,23.0,49.0,1.3837472750000002,108.7317946,5.031280990100001,2.64115056548,4.015914896,52.49378370208,2.907002837563,4.950626558,24.912191490949997,2.8433225094,1.016119185,2.624551626,3.9121029719199996,23417.0,419.0,495000000.0,868000000.0,8479000000.0,5122000000.0
Awdal,Borama,Borama,7000.0,6280.0,4081.81,34734.19,0.65,2018-05-01,,25.05,0.18,55.14,3.0,25.0,46.0,2.0,6.0,66.0,,1.0,73.0,,,74.0,1.0,55.0,18.0,9.0,57.0,8.0,9494149.932,0.6338,3.0,9.0,62.0,1.43598358625,110.3196992,5.18402681399,2.64115056548,4.015914896,53.770066506999996,2.95011462873,4.9787260485000004,24.91428848852,2.83801949675,1.018126707,2.620539736,3.9527416642999995,23394.0,419.0,495000000.0,868000000.0,8479000000.0,5122000000.0
Awdal,Borama,Borama,6870.0,6445.76,3420.4,34504.16,0.64,2018-06-01,,26.04,0.15,47.72,,33.0,41.0,1.0,3.0,70.0,,1.0,73.0,,,74.0,1.0,25.0,48.0,10.0,19.0,45.0,7772458.971,0.5189,,,74.0,1.3760549675,109.7625924,5.528399320560001,2.64115056548,4.015914896,53.180996677399996,2.9658278876400006,4.9787260485000004,24.647571710079998,2.8365421726499997,1.018126707,2.620539736,3.9527416642999995,23581.0,419.0,495000000.0,868000000.0,8479000000.0,5122000000.0
Awdal,Borama,Borama,6600.0,6739.89,3000.0,34739.82,0.64,2018-07-01,,25.05,0.61,48.93,,21.0,53.0,1.0,2.0,71.0,,1.0,73.0,,,74.0,1.0,11.0,62.0,8.0,7.0,59.0,6114366.114,0.4082,,,74.0,1.4428709725,108.9395172,5.20457197474,2.64115056548,4.015914896,52.677356185639994,2.97943551963,4.952325162000001,24.57128004173,2.86226853103,1.019062002,2.620539736,3.9527416642999995,24418.0,419.0,495000000.0,868000000.0,8479000000.0,5122000000.0
Awdal,Borama,Borama,5500.0,6900.0,3000.0,35103.75,0.63,2018-08-01,673264.0,24.94,1.08,50.39,,16.0,58.0,1.0,2.0,71.0,,,74.0,,,74.0,,11.0,63.0,8.0,7.0,59.0,5018930.868,0.3351,,,74.0,1.4428709725,109.0870703,5.45717725185,2.64115056548,4.015914896,52.825642876559996,3.0558691814500003,4.952325162000001,24.24150744507,2.86226853103,1.019062002,2.620539736,3.9527416642999995,24395.0,419.0,495000000.0,868000000.0,8479000000.0,5122000000.0
Awdal,Borama,Borama,4500.0,7400.0,2800.0,35803.62,0.63,2018-09-01,673264.0,25.22,0.34,45.87,,29.0,45.0,1.0,3.0,70.0,,,74.0,,,74.0,1.0,10.0,64.0,11.0,10.0,53.0,4196122.215,0.2801,,,74.0,1.5361329250000002,110.361435,5.460698216640001,2.64115056548,3.8992950660000005,53.11078240856,3.0656137139200004,5.015482815,25.03936832921,2.93945910721,1.025378435,2.654289736,3.9737837044099997,24437.0,419.0,495000000.0,868000000.0,8479000000.0,5122000000.0
Awdal,Borama,Borama,4500.0,7100.0,2600.0,35861.3,0.62,2018-10-01,673264.0,22.97,0.67,55.01,,28.0,46.0,2.0,3.0,69.0,,1.0,73.0,,,74.0,1.0,14.0,59.0,11.0,41.0,22.0,4224594.876,0.282,,1.0,74.0,1.5882775275,111.6178267,5.45600554353,2.64892211584,4.0245247200000005,53.337687555959995,3.07886775644,5.1387249950000005,25.56786359341,3.01455272137,1.0438082850000001,2.654289736,4.06430217349,24457.0,419.0,495000000.0,868000000.0,8479000000.0,5122000000.0
Awdal,Borama,Borama,4200.0,6200.0,3000.0,35547.81,0.61,2018-11-01,673264.0,20.89,0.38,61.22,,18.0,56.0,2.0,4.0,68.0,,15.0,74.0,,74.0,74.0,1.0,12.0,61.0,11.0,24.0,39.0,3857579.408,0.2575,,,74.0,1.57268712625,111.8485192,5.45011244583,2.6422434455199997,4.017961112,53.787100432239995,3.0643367671800004,5.1387249950000005,25.58171859122,2.94660461029,1.019539636,2.6547509600000003,3.9727390411799997,24464.0,419.0,495000000.0,868000000.0,8479000000.0,5122000000.0
Awdal,Borama,Borama,5000.0,6600.0,3000.0,35234.22,0.62,2018-12-01,673264.0,18.66,0.0,61.91,,29.0,45.0,4.0,1.0,70.0,,2.0,74.0,,,74.0,,13.0,61.0,10.0,17.0,47.0,4323216.43,0.2886,,4.0,70.0,1.554869525,111.1604276,5.476695392230001,2.6422434455199997,4.017961112,53.81526369876,3.0556743481700006,5.1387249950000005,24.72536274211,2.9759598874999997,1.02502246,2.752630612,3.9800193409599998,24468.0,419.0,495000000.0,868000000.0,8479000000.0,5122000000.0
Awdal,Borama,Borama,5000.0,6800.0,3000.0,35424.46,0.62,2019-01-01,,18.67,0.0,55.07,,28.0,46.0,3.0,1.0,70.0,,,74.0,,,74.0,1.0,12.0,62.0,11.0,9.0,54.0,4496009.878,0.2896,,,74.0,1.5960615450000002,109.617661,5.474981927760001,2.6422434455199997,4.017961112,52.31082124852,3.0560837980900004,5.12760282,24.74195848908,2.98262776225,1.025548776,2.6592972780000004,3.9824728041799995,24530.0,451.0,529000000.0,917000000.0,9330000000.0,5423000000.0
