indicator,base-per,Unit,Date,Value
"ALL GROUPS, weights",Not Applicable,Weight,2023M6,100
"ALL GROUPS, weights",Not Applicable,Weight,2023M7,100
"ALL GROUPS, weights",Not Applicable,Weight,2023M8,100
"ALL GROUPS, weights",Not Applicable,Weight,2023M9,100
"ALL GROUPS, weights",Not Applicable,Weight,2023M10,100
"ALL GROUPS, weights",Not Applicable,Weight,2023M11,100
"ALL GROUPS, weights",Not Applicable,Weight,2023M12,100
"ALL GROUPS, weights",Not Applicable,Weight,2024M1,100
"ALL GROUPS, weights",Not Applicable,Weight,2024M2,100
"ALL GROUPS, weights",Not Applicable,Weight,2024M3,100
"ALL GROUPS, weights",Not Applicable,Weight,2024M4,100
"ALL GROUPS, weights",Not Applicable,Weight,2024M5,100
"ALL GROUPS, weights",Not Applicable,Weight,2024M6,100
"ALL GROUPS, weights",Not Applicable,Weight,2024M7,100
"ALL GROUPS, weights",Not Applicable,Weight,2024M8,100
"ALL GROUPS, weights",Not Applicable,Weight,2024M9,100
"ALL GROUPS, weights",Not Applicable,Weight,2024M10,100
"ALL GROUPS, weights",Not Applicable,Weight,2024M11,100
"ALL GROUPS, weights",Not Applicable,Weight,2024M12,100
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2014M12,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2015M1,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2015M2,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2015M3,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2015M4,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2015M5,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2015M6,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2015M7,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2015M8,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2015M9,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2015M10,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2015M11,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2015M12,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2016M1,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2016M2,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2016M3,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2016M4,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2016M5,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2016M6,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2016M7,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2016M8,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2016M9,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2016M10,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2016M11,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2016M12,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2017M1,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2017M2,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2017M3,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2017M4,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2017M5,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2017M6,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2017M7,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2017M8,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2017M9,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2017M10,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2017M11,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2017M12,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2018M1,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2018M2,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2018M3,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2018M4,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2018M5,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2018M6,46.04
"FOOD AND NON ALCOHOLIC BEVERAGES, weights",Not Applicable,Weight,2018M7,46.04
