Region,Population,Month,Year
Togdheer,860684,December,2024
Woqooyi Galbeed,1447484,December,2024
Awdal,655893,July,2025
Bakool,560266,July,2025
Banadir,3262132,July,2025
Bari,1270552,July,2025
Bay,1286786,July,2025
Galgaduud,837918,July,2025
Gedo,1005923,July,2025
Hiraan,520516,July,2025
Lower Juba,1194276,July,2025
Lower Shabelle,1642667,July,2025
Middle Juba,443506,July,2025
Middle Shabelle,1044873,July,2025
North Mudug,918998,July,2025
Nugaal,651465,July,2025
Sanaag,442034,July,2025
Sool,566052,July,2025
South Mudug,597037,July,2025
Togdheer,887449,July,2025
Woqooyi Galbeed,1492507,July,2025
Awdal,655893,August,2025
Bakool,560266,August,2025
Banadir,3262132,August,2025
Bari,1270552,August,2025
Bay,1286786,August,2025
Galgaduud,837918,August,2025
Gedo,1005923,August,2025
Hiraan,520516,August,2025
Lower Juba,1194276,August,2025
Lower Shabelle,1642667,August,2025
Middle Juba,443506,August,2025
Middle Shabelle,1044873,August,2025
North Mudug,918998,August,2025
Nugaal,651465,August,2025
Sanaag,442034,August,2025
Sool,566052,August,2025
South Mudug,597037,August,2025
Togdheer,887449,August,2025
Woqooyi Galbeed,1492507,August,2025
Awdal,655893,September,2025
Bakool,560266,September,2025
Banadir,3262132,September,2025
Bari,1270552,September,2025
Bay,1286786,September,2025
Galgaduud,837918,September,2025
Gedo,1005923,September,2025
Hiraan,520516,September,2025
Lower Juba,1194276,September,2025
Lower Shabelle,1642667,September,2025
Middle Juba,443506,September,2025
Middle Shabelle,1044873,September,2025
North Mudug,918998,September,2025
Nugaal,651465,September,2025
Sanaag,442034,September,2025
Sool,566052,September,2025
South Mudug,597037,September,2025
Togdheer,887449,September,2025
Woqooyi Galbeed,1492507,September,2025
Awdal,655893,October,2025
Bakool,560266,October,2025
Banadir,3262132,October,2025
Bari,1270552,October,2025
Bay,1286786,October,2025
Galgaduud,837918,October,2025
Gedo,1005923,October,2025
Hiraan,520516,October,2025
Lower Juba,1194276,October,2025
Lower Shabelle,1642667,October,2025
Middle Juba,443506,October,2025
Middle Shabelle,1044873,October,2025
North Mudug,918998,October,2025
Nugaal,651465,October,2025
Sanaag,442034,October,2025
Sool,566052,October,2025
South Mudug,597037,October,2025
Togdheer,887449,October,2025
Woqooyi Galbeed,1492507,October,2025
Awdal,655893,November,2025
Bakool,560266,November,2025
Banadir,3262132,November,2025
Bari,1270552,November,2025
Bay,1286786,November,2025
Galgaduud,837918,November,2025
Gedo,1005923,November,2025
Hiraan,520516,November,2025
Lower Juba,1194276,November,2025
Lower Shabelle,1642667,November,2025
Middle Juba,443506,November,2025
Middle Shabelle,1044873,November,2025
North Mudug,918998,November,2025
Nugaal,651465,November,2025
Sanaag,442034,November,2025
Sool,566052,November,2025
South Mudug,597037,November,2025
Togdheer,887449,November,2025
Woqooyi Galbeed,1492507,November,2025
Awdal,655893,December,2025
Bakool,560266,December,2025
Banadir,3262132,December,2025
Bari,1270552,December,2025
Bay,1286786,December,2025
Galgaduud,837918,December,2025
Gedo,1005923,December,2025
Hiraan,520516,December,2025
Lower Juba,1194276,December,2025
Lower Shabelle,1642667,December,2025
Middle Juba,443506,December,2025
Middle Shabelle,1044873,December,2025
North Mudug,918998,December,2025
Nugaal,651465,December,2025
Sanaag,442034,December,2025
Sool,566052,December,2025
South Mudug,597037,December,2025
Togdheer,887449,December,2025
Woqooyi Galbeed,1492507,December,2025
