indicator,Unit,Date,Value
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2021M8,26026
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2021M9,26033
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2021M10,26057
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2021M11,26090
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2021M12,26091
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2022M1,26069
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2022M2,25384
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2022M3,26027
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2022M4,26492
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2022M5,26382
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2022M6,26988
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2022M7,26976
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2022M8,26061
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2022M9,26064
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2022M10,27473
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2022M11,28018
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2022M12,28020
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2023M1,27604
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2023M2,26163
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2023M3,26252
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2023M4,27055
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2023M5,27313
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2023M6,27063
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2023M7,27047
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2023M8,27049
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2023M9,27071
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2023M10,27730
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2023M11,28037
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2023M12,28029
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2024M1,28038
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2024M2,28034
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2024M3,28032
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2024M4,28032
"National Currency per U.S. Dollar, monthly average",Somali shillings per US dollar,2024M5,28035
